涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例%,内盘,外盘,内外比,主力净量,量比,净利润？,市净率,每股盈利,昨收,开盘,开盘涨幅,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,机构动向,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量
0.0016,6.13,0.01,6.13,6.14,4682449,28834283,3000,0.0016,0.0016,-0.46,0.0111,26.05,3282798300,2574515800,0.7842,2215368,2467081,0.898,-0.07,0.74,4936984,3.86,0.009,6.12,6.12,0,6.21,6.11,0.0099,0.0082,0.0587,-0.1415,0.0163,10200,34200,6628,-22.4,535529910,419986260,6.46E+14,0.072,1.59,1,5.05
-0.0155,17.1,-0.27,17.07,17.1,1726224,29561543,300,0.0041,-0.0155,-0.14,0.0165,46.1,3252616700,1787018400,0.5494,1170142,556082,2.1,-0.31,1.15,13643919,3.87,0.073,17.37,17.37,0,17.38,17.03,-0.0217,0.0083,-0.0782,-0.3586,0.0201,2300,3500,2589,-53.87,190211500,104504000,1.36E+15,-0.2123,4.42,2,82.94
-0.0231,30.82,-0.73,30.8,30.82,3325629,102653285,1000,-0.0013,-0.0169,-0.15,0.0068,28.96,19229002000,15018897000,0.7811,1721360,1604269,1.07,-0.03,1.76,1750000000,2.89,1.21,31.55,31.35,-0.0063,31.55,30.7,-0.0314,0.0426,-0.0354,-0.0819,0.0269,400,4400,9121,-9.06,623913100,487310090,1.08E+17,1.226,10.66,0,11.97
-0.0318,23.48,-0.77,23.48,23.49,2460972,58300138,900,0.0004,-0.0318,-0.87,0.0284,3.35,3968120000,2033661500,0.5125,1684018,776954,2.17,-0.35,1.28,31641968,4.45,0.187,24.25,24.25,0,24.25,23.45,-0.003,0.0213,-0.0749,-0.2817,0.033,500,2100,4103,-25.3,169000000,86612500,4.29E+15,0.1528,5.28,2,83.1
0.0003,29.58,0.01,29.56,29.6,3157551,93523544,300,0.0037,0.0151,-0.13,0.0236,47.7,6143148800,3962919300,0.6451,1758039,1399512,1.26,-0.29,0.98,-18749067,5.72,-0.09,29.57,29.14,-0.0145,30.38,29.14,0.0667,0.2726,0.4593,-0.1479,0.0419,200,200,8861,-27.43,207679130,133972931,-2.85E+15,0.459,5.17,1,85.11
-0.0091,31.71,-0.29,31.72,31.78,2354160,74827473,1200,0.001,-0.0094,-0.24,0.0127,69.37,9295992400,5888509400,0.6334,1414620,939540,1.51,-0.07,1,65985292,5.25,0.225,32,32.01,0.0003,32.23,31.45,-0.0523,-0.0492,-0.1264,-0.3895,0.0244,200,100,6466,-17.23,293156490,185698810,7.60E+15,0.4095,6.04,2,13.72
-0.0031,60.81,-0.19,60.81,60.82,255400,15538549,400,-0.0023,0.0021,-0.05,0.0061,54.93,6567674600,2549966400,0.3883,153000,102400,1.49,0.08,0.66,44559616,5.3,0.413,61,60.68,-0.0052,61.66,60.14,-0.0409,-0.0047,-0.0119,-0.2577,0.0249,2600,100,1025,60.52,108003200,41933340,5.22E+15,0.5148,11.46,1,-17.83
-0.0175,6.19,-0.11,6.18,6.19,43455766,268113210,136600,0.0032,-0.0143,0.32,0.0187,-22.13,15419524000,14360491000,0.9313,25201535,18254231,1.38,-0.35,1.43,32681425,1.63,0.013,6.3,6.28,-0.0032,6.28,6.11,0.0181,0.1093,0.0198,-0.4231,0.027,28300,108400,24488,-23.45,2491037800,2319950000,5.86E+15,-0.91,3.79,0,58.13
-0.0295,31.88,-0.97,31.88,31.89,2147655,68648302,100,0.0003,-0.0233,-0.26,0.0497,56.87,12768482000,1378994900,0.108,1270376,877279,1.45,-0.43,2.1,177239160,7.33,0.443,32.85,32.64,-0.0064,32.65,31.63,-0.0461,-0.0363,-0.1611,-0.0821,0.0311,400,2000,5324,-26.63,400517000,43255800,2.77E+16,2.324,4.35,1,83.93
-0.0134,24.29,-0.33,24.29,24.3,701220,17059271,1600,0.0008,-0.0106,-0.15,0.0011,65.34,14959725000,14959656000,1,482198,219022,2.2,-0.01,1.11,216153000,1.89,0.35,24.62,24.55,-0.0028,24.58,24.24,-0.0166,0.0146,-0.1551,-0.478,0.0138,1700,1500,1488,-33.05,615880000,615877150,2.59E+16,-0.2107,12.88,2,5.36
-0.007,29.92,-0.21,29.92,29.98,521632,15634657,300,0,-0.007,-0.17,0.0049,-31.51,6382933400,3216210100,0.5039,301530,220102,1.37,-0.03,0.31,90859414,3.07,0.426,30.13,30.13,0,30.28,29.81,0.0403,0.2556,0.1647,-0.3906,0.0156,1100,600,2149,-55.67,213333330,107493654,1.18E+16,0.449,9.74,0,9.03
0.0408,13.01,0.51,13,13.01,10102293,130188704,600,-0.0015,0.04,0.98,0.0481,22.4,3121006900,2734763100,0.8762,4338490,5763803,0.753,0.16,3.44,8245446,4.48,0.034,12.5,12.51,0.0008,13.08,12.44,0.0148,-0.0225,0.1196,-0.1682,0.0512,22500,5900,11746,10.52,239892920,210204700,9.87E+14,-0.4675,2.91,6,-16.37
-0.0167,10.62,-0.18,10.61,10.63,1614700,17179412,900,0,-0.0158,-0.18,0.012,68.46,1782366200,1426029800,0.8001,1093850,520850,2.1,-0.08,1.2,9913245,2.66,0.06,10.8,10.79,-0.0009,10.82,10.57,-0.0389,0.0182,-0.0158,-0.3556,0.0231,6200,8400,4101,-67.18,167831090,134277760,1.20E+15,-0.0423,3.99,2,11.73
-0.0105,13.24,-0.14,13.23,13.24,1549300,20522512,200,-0.0008,-0.0038,-0.05,0.0072,87.29,2872907900,2863499500,0.9967,976450,572850,1.7,0.07,0.81,175000000,2.25,0.791,13.38,13.29,-0.0067,13.4,13.16,0.0185,0.0738,0.0376,-0.2351,0.0179,3400,1100,3192,34.15,216987000,216276390,1.99E+16,5.123,5.88,1,-8.98
